product_id,product_name,피부타입,formula_group,y_total_reviews,y_negative_rate_raw,y_negative_rate_smoothed,high_risk,predict_proba,prediction,is_correct
A000000200725,아벤느 시칼파트 플러스 SOS 리페어 크림,트러블성,68591b1b3cc34d35742803d57ec9f797,38,0.18421052631578946,0.1406775918029179,1,0.6411778959911685,1,1
A000000200804,마몽드 플로라 글로우 로즈 스무딩 크림,건성,f8555c9822284f26fd7d121e54dc0921,36,0.05555555555555555,0.056416077224450675,0,0.5388933691358744,1,0
A000000200804,마몽드 플로라 글로우 로즈 스무딩 크림,민감성,f8555c9822284f26fd7d121e54dc0921,11,0.18181818181818182,0.10191291369578186,1,0.5645786443813356,1,1
A000000200804,마몽드 플로라 글로우 로즈 스무딩 크림,복합성,f8555c9822284f26fd7d121e54dc0921,43,0.046511627906976744,0.05014762419951171,0,0.5486025551235753,1,0
A000000200804,마몽드 플로라 글로우 로즈 스무딩 크림,지성,f8555c9822284f26fd7d121e54dc0921,13,0.15384615384615385,0.09573637347179509,1,0.5588967966653796,1,1
A000000204308,바이오힐보 프로바이오덤 콜라겐 리모델링 크림,건성,c7c3ce873d886a1a859d9ca71a5f8457,54,0.037037037037037035,0.04269324762931402,0,0.2892777824393135,0,1
A000000204308,바이오힐보 프로바이오덤 콜라겐 리모델링 크림,민감성,c7c3ce873d886a1a859d9ca71a5f8457,40,0.025,0.035988338742820626,0,0.2733593855661604,0,1
A000000204308,바이오힐보 프로바이오덤 콜라겐 리모델링 크림,복합성,c7c3ce873d886a1a859d9ca71a5f8457,53,0.018867924528301886,0.02957945650094846,0,0.28711858929074513,0,1
A000000204308,바이오힐보 프로바이오덤 콜라겐 리모델링 크림,지성,c7c3ce873d886a1a859d9ca71a5f8457,47,0.0425531914893617,0.04715373618760056,0,0.31690935704704676,0,1
A000000204308,바이오힐보 프로바이오덤 콜라겐 리모델링 크림,트러블성,c7c3ce873d886a1a859d9ca71a5f8457,28,0.07142857142857142,0.06581875676185912,0,0.2992603824232864,0,1
A000000204949,센텔리안24 마데카 크림 타임 리버스,건성,f588029a4c0bb098cf3d5f29947b01ba,56,0.0,0.015253951639068918,0,0.20093860712777226,0,1
A000000204949,센텔리안24 마데카 크림 타임 리버스,민감성,f588029a4c0bb098cf3d5f29947b01ba,52,0.0,0.016101393396794967,0,0.20363067972762103,0,1
A000000204949,센텔리안24 마데카 크림 타임 리버스,복합성,f588029a4c0bb098cf3d5f29947b01ba,51,0.0392156862745098,0.044497187669989266,0,0.20371373865861436,0,1
