product_id,product_name_raw,product_name_clean,강조문구_1,강조문구_2,강조문구_3,clean_predict,raw_predict
A000000182795,[1+1] 프리메라 알파인 베리 워터리 크림 리필기획/단품,프리메라 알파인 베리 워터리 크림 리필 /,수분·수부지·아쿠아,,,수분·수부지·아쿠아(워터),
A000000189248,[수분진정] 바이오힐보 판테셀 리페어시카 크림 50ml (단품/리필기획),바이오힐보 판테셀 리페어시카 크림,보습·장벽·리페어,진정·시카·민감,,보습·장벽·리페어(리페어); 진정·시카·민감(시카),
A000000178512,[화잘먹크림] 웰라쥬 리얼 히알루로닉 100 크림 50ml 더블 기획,웰라쥬 리얼 히알루로닉 100 크림,수분·수부지·아쿠아,,,수분·수부지·아쿠아(히알루),
A000000249736,[색소침착/기미톤업제] 동국제약 멜라-셋 기미 토닝 크림 35g,동국제약 멜라-셋 기미 토닝 크림,미백·잡티·톤업,,,"미백·잡티·톤업(기미,멜라,토닝)",
A000000219716,[단독기획/5겹장벽크림] 파티온 노스카나인 트러블 크림 45ml 기획(+5ml+세럼 5ml),파티온 노스카나인 트러블 크림 ( 세럼 ),피지·모공·트러블,,,"피지·모공·트러블(트러블,노스카나인)",
A000000247726,[한정기획] 메이크프렘 인테카 수딩크림 70ml 기획 (+크림 31ml*2+NMN 앰플 7ml),메이크프렘 인테카 수딩크림 ( 크림 *2 NMN 앰플 ),진정·시카·민감,,,"진정·시카·민감(수딩,테카)",
A000000244953,[7월 올영픽/온라인추가증정] 라로슈포제 히알루 B5 수분탄력 크림 50ml 기획 (+3ml+히알루세럼10ml),라로슈포제 히알루 B5 수분탄력 크림 ( 히알루세럼10ml),수분·수부지·아쿠아,탄력·주름·안티에이징,,"수분·수부지·아쿠아(수분,히알루); 탄력·주름·안티에이징(탄력)",
A000000259298,아비브 히알루로닉 붐 크림 워터튜브 75ml 더블 기획,아비브 히알루로닉 붐 크림 워터튜브,수분·수부지·아쿠아,,,"수분·수부지·아쿠아(워터,히알루)",
A000000250254,[화잘먹/100시간수분] 아이소이 모이스춰 닥터 장수진 수분크림 50ml 1+1 기획 (+20ml),아이소이 모이스춰 닥터 장수진 수분크림,수분·수부지·아쿠아,보습·장벽·리페어,,수분·수부지·아쿠아(수분); 보습·장벽·리페어(모이스춰),
A000000199889,[조슈아PICK/화잘먹] 리얼베리어 익스트림 크림 라이트 70ml 기획 (+30ml),리얼베리어 익스트림 크림 라이트,보습·장벽·리페어,,,보습·장벽·리페어(베리어),
A000000208331,바이오더마 시카비오 크림+ 40ml(딥 리페어 크림),바이오더마 시카비오 크림 (딥 리페어 크림),보습·장벽·리페어,진정·시카·민감,,보습·장벽·리페어(리페어); 진정·시카·민감(시카),
