product_id,product_name,canonical_name,ingredient_order,concentration_ppm
A000000253592,셀리맥스 트라넥삼산 잡티 크림,하이드로제네이티드레시틴,24,
A000000253592,셀리맥스 트라넥삼산 잡티 크림,세라마이드엔피,25,
A000000253592,셀리맥스 트라넥삼산 잡티 크림,베타인,26,
A000000253592,셀리맥스 트라넥삼산 잡티 크림,에틸헥실글리세린,27,
A000000253592,셀리맥스 트라넥삼산 잡티 크림,잔탄검,28,
A000000253592,셀리맥스 트라넥삼산 잡티 크림,비파나무잎추출물,29,
A000000253592,셀리맥스 트라넥삼산 잡티 크림,아데노신,30,
A000000253592,셀리맥스 트라넥삼산 잡티 크림,프룩토올리고사카라이드,31,
A000000253592,셀리맥스 트라넥삼산 잡티 크림,황련뿌리추출물,32,
A000000253592,셀리맥스 트라넥삼산 잡티 크림,콜레스테롤,33,
A000000253592,셀리맥스 트라넥삼산 잡티 크림,부틸렌글라이콜,34,
A000000253592,셀리맥스 트라넥삼산 잡티 크림,베타-글루칸,35,
A000000253592,셀리맥스 트라넥삼산 잡티 크림,스피어민트추출물,36,
A000000253592,셀리맥스 트라넥삼산 잡티 크림,하이드롤라이즈드하이알루로닉애씨드,37,
A000000253592,셀리맥스 트라넥삼산 잡티 크림,카카오씨추출물,38,
A000000253592,셀리맥스 트라넥삼산 잡티 크림,덱스트린,39,
A000000253592,셀리맥스 트라넥삼산 잡티 크림,토코페롤,40,
A000000253592,셀리맥스 트라넥삼산 잡티 크림,아스코빅애씨드폴리펩타이드,41,
A000000253592,셀리맥스 트라넥삼산 잡티 크림,글리세릴스테아레이트,42,
A000000253592,셀리맥스 트라넥삼산 잡티 크림,세라마이드에이에스,43,
A000000253592,셀리맥스 트라넥삼산 잡티 크림,세라마이드에이피,44,
A000000253592,셀리맥스 트라넥삼산 잡티 크림,세라마이드엔에스,45,
A000000253592,셀리맥스 트라넥삼산 잡티 크림,세라마이드이오피,46,
A000000222833,에스트라 아토베리어365 크림,정제수,1,
A000000222833,에스트라 아토베리어365 크림,부틸렌글라이콜,2,
A000000222833,에스트라 아토베리어365 크림,글리세린,3,
A000000222833,에스트라 아토베리어365 크림,부틸렌글라이콜다이카프릴레이트/다이카프레이트,4,
A000000222833,에스트라 아토베리어365 크림,세틸에틸헥사노에이트,5,
A000000222833,에스트라 아토베리어365 크림,스쿠알란,6,
A000000222833,에스트라 아토베리어365 크림,펜타에리스리틸테트라아이소스테아레이트,7,
A000000222833,에스트라 아토베리어365 크림,다이카프릴릴카보네이트,8,
A000000222833,에스트라 아토베리어365 크림,베헤닐알코올,9,
A000000222833,에스트라 아토베리어365 크림,다이메티콘,10,
A000000222833,에스트라 아토베리어365 크림,하이드록시프로필비스팔미타마이드엠이에이,11,
A000000222833,에스트라 아토베리어365 크림,스테아릭애씨드,12,
A000000222833,에스트라 아토베리어365 크림,베타인,13,
A000000222833,에스트라 아토베리어365 크림,만니톨,14,
A000000222833,에스트라 아토베리어365 크림,C14-22알코올,15,
A000000222833,에스트라 아토베리어365 크림,팔미틱애씨드,16,
A000000222833,에스트라 아토베리어365 크림,하이드록시프로필비스라우라마이드엠이에이,17,
A000000222833,에스트라 아토베리어365 크림,아라키딜알코올,18,
A000000222833,에스트라 아토베리어365 크림,콜레스테롤,19,
A000000222833,에스트라 아토베리어365 크림,폴리아크릴레이트-13,20,
A000000222833,에스트라 아토베리어365 크림,C12-20알킬글루코사이드,21,
A000000222833,에스트라 아토베리어365 크림,알란토인,22,
A000000222833,에스트라 아토베리어365 크림,아라키딜글루코사이드,23,
A000000222833,에스트라 아토베리어365 크림,나이아신아마이드,24,
A000000222833,에스트라 아토베리어365 크림,세라마이드엔피,25,
A000000222833,에스트라 아토베리어365 크림,글리세릴카프릴레이트,26,
A000000222833,에스트라 아토베리어365 크림,에틸헥실글리세린,27,
A000000222833,에스트라 아토베리어365 크림,하이드로제네이티드폴리아이소부텐,28,
A000000222833,에스트라 아토베리어365 크림,카보머,29,
A000000222833,에스트라 아토베리어365 크림,트로메타민,30,
A000000222833,에스트라 아토베리어365 크림,다이메티콘올,31,
A000000222833,에스트라 아토베리어365 크림,폴리글리세릴-10라우레이트,32,
A000000222833,에스트라 아토베리어365 크림,하이드로제네이티드레시틴,33,
A000000222833,에스트라 아토베리어365 크림,에틸헥실팔미테이트,34,
A000000222833,에스트라 아토베리어365 크림,아크릴레이트/암모늄메타크릴레이트코폴리머,35,
A000000222833,에스트라 아토베리어365 크림,솔비탄아이소스테아레이트,36,
A000000222833,에스트라 아토베리어365 크림,실리카,37,
A000000222833,에스트라 아토베리어365 크림,피토스핑고신,38,
A000000222833,에스트라 아토베리어365 크림,스핑고리피드,39,
A000000222833,에스트라 아토베리어365 크림,아라키딕애씨드,40,
A000000222833,에스트라 아토베리어365 크림,토코페롤,41,
A000000222833,에스트라 아토베리어365 크림,올레익애씨드,42,
A000000258834,에스트라 아토베리어365 하이드로 수딩크림,정제수,1,
A000000258834,에스트라 아토베리어365 하이드로 수딩크림,글리세린,2,
A000000258834,에스트라 아토베리어365 하이드로 수딩크림,부틸렌글라이콜,3,
A000000258834,에스트라 아토베리어365 하이드로 수딩크림,다이메티콘,4,
A000000258834,에스트라 아토베리어365 하이드로 수딩크림,스쿠알란,5,
A000000258834,에스트라 아토베리어365 하이드로 수딩크림,"1,2-헥산다이올",6,
A000000258834,에스트라 아토베리어365 하이드로 수딩크림,베타인,7,
A000000258834,에스트라 아토베리어365 하이드로 수딩크림,세테아릴알코올,8,
A000000258834,에스트라 아토베리어365 하이드로 수딩크림,암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,9,
A000000258834,에스트라 아토베리어365 하이드로 수딩크림,하이드로제네이티드쌀겨오일,10,
A000000258834,에스트라 아토베리어365 하이드로 수딩크림,하이드로제네이티드레시틴,11,
A000000258834,에스트라 아토베리어365 하이드로 수딩크림,폴리글리세릴-3메틸글루코오스다이스테아레이트,12,
A000000258834,에스트라 아토베리어365 하이드로 수딩크림,폴리아크릴레이트크로스폴리머-6,13,
A000000258834,에스트라 아토베리어365 하이드로 수딩크림,만니톨,14,
A000000258834,에스트라 아토베리어365 하이드로 수딩크림,세틸-피지하이드록시에틸팔미타마이드,15,
A000000258834,에스트라 아토베리어365 하이드로 수딩크림,스테아릭애씨드,16,
A000000258834,에스트라 아토베리어365 하이드로 수딩크림,에틸헥실글리세린,17,
A000000258834,에스트라 아토베리어365 하이드로 수딩크림,글리세릴카프릴레이트,18,
A000000258834,에스트라 아토베리어365 하이드로 수딩크림,프로판다이올,19,
A000000258834,에스트라 아토베리어365 하이드로 수딩크림,글리세릴스테아레이트,20,
