product_id,product_name,v3_total_ingredient_count,v3_count_humectant,v3_count_emollient,v3_count_occlusive,v3_count_barrier,v3_count_soothing,v3_count_active,v3_count_fragrance,v3_count_acid_exfoliant,v3_count_silicone,v3_count_peptide,v3_count_botanical_extract,v3_count_oil_butter,v3_ratio_humectant,v3_ratio_emollient,v3_ratio_occlusive,v3_ratio_barrier,v3_ratio_soothing,v3_ratio_active,v3_ratio_fragrance,v3_ratio_acid_exfoliant,v3_ratio_silicone,v3_ratio_peptide,v3_ratio_botanical_extract,v3_ratio_oil_butter
A000000206312,피캄 센텔라 트러블 스팟,42,7,1,1,1,7,6,0,4,0,0,8,0,0.16666666666666666,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.16666666666666666,0.14285714285714285,0.0,0.09523809523809523,0.0,0.0,0.19047619047619047,0.0
A000000206904,라로슈포제 시카플라스트 밤 B5,33,5,2,4,1,3,1,0,0,2,0,1,1,0.15151515151515152,0.06060606060606061,0.12121212121212122,0.030303030303030304,0.09090909090909091,0.030303030303030304,0.0,0.0,0.06060606060606061,0.0,0.030303030303030304,0.030303030303030304
A000000208331,바이오더마 시카비오 크림,28,8,2,1,1,0,2,0,0,0,1,0,4,0.2857142857142857,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.0,0.07142857142857142,0.0,0.0,0.0,0.03571428571428571,0.0,0.14285714285714285
A000000208491,이지듀 EGF 글루타치온 기미잡티 크림,74,11,5,3,4,3,10,2,0,3,5,8,8,0.14864864864864866,0.06756756756756757,0.04054054054054054,0.05405405405405406,0.04054054054054054,0.13513513513513514,0.02702702702702703,0.0,0.04054054054054054,0.06756756756756757,0.10810810810810811,0.10810810810810811
A000000209747,제로이드 수딩 크림,22,6,3,1,1,0,1,0,0,1,0,0,1,0.2727272727272727,0.13636363636363635,0.045454545454545456,0.045454545454545456,0.0,0.045454545454545456,0.0,0.0,0.045454545454545456,0.0,0.0,0.045454545454545456
A000000209906,제로이드 더마뉴얼 리페어 크림,24,6,3,3,2,2,1,0,0,3,0,0,0,0.25,0.125,0.125,0.08333333333333333,0.08333333333333333,0.041666666666666664,0.0,0.0,0.125,0.0,0.0,0.0
A000000210054,아누아 복숭아 나이아신아마이드 인리치드 크림,39,8,2,4,2,1,3,1,0,3,0,3,0,0.20512820512820512,0.05128205128205128,0.10256410256410256,0.05128205128205128,0.02564102564102564,0.07692307692307693,0.02564102564102564,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0
A000000210600,넘버즈인 5번 글루타치온씨 흔적 토닝 레이저 크림,70,10,0,2,6,5,16,0,0,2,8,6,3,0.14285714285714285,0.0,0.02857142857142857,0.08571428571428572,0.07142857142857142,0.22857142857142856,0.0,0.0,0.02857142857142857,0.11428571428571428,0.08571428571428572,0.04285714285714286
A000000211085,오드로이 모공수축크림 로프디 모공타이트닝,29,6,2,1,1,3,2,1,0,0,0,4,2,0.20689655172413793,0.06896551724137931,0.034482758620689655,0.034482758620689655,0.10344827586206896,0.06896551724137931,0.034482758620689655,0.0,0.0,0.0,0.13793103448275862,0.06896551724137931
A000000211188,피지오겔 시카밸런스 포맨 카밍 크림,37,7,8,1,4,7,2,0,0,0,0,0,2,0.1891891891891892,0.21621621621621623,0.02702702702702703,0.10810810810810811,0.1891891891891892,0.05405405405405406,0.0,0.0,0.0,0.0,0.0,0.05405405405405406
A000000211478,아비브 부활초 크림 뉴트리션,40,6,8,4,3,2,2,0,0,1,0,3,2,0.15,0.2,0.1,0.075,0.05,0.05,0.0,0.0,0.025,0.0,0.075,0.05
A000000212010,LBB 골드렐라 펩타이드 28 안티 멜라닌 마스크 크림,36,5,5,3,1,0,8,0,0,1,5,1,5,0.1388888888888889,0.1388888888888889,0.08333333333333333,0.027777777777777776,0.0,0.2222222222222222,0.0,0.0,0.027777777777777776,0.1388888888888889,0.027777777777777776,0.1388888888888889
A000000212016,에센허브 티트리 수딩 인 카밍 크림,43,6,3,5,4,6,1,2,0,4,0,7,3,0.13953488372093023,0.06976744186046512,0.11627906976744186,0.09302325581395349,0.13953488372093023,0.023255813953488372,0.046511627906976744,0.0,0.09302325581395349,0.0,0.16279069767441862,0.06976744186046512
A000000212570,바이오더마 시카비오 크림,28,8,2,1,1,0,2,0,0,0,1,0,4,0.2857142857142857,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.0,0.07142857142857142,0.0,0.0,0.0,0.03571428571428571,0.0,0.14285714285714285
A000000212690,브링그린 대나무 히알루 수분 부스팅 크림,32,12,3,2,3,2,0,0,0,1,0,2,0,0.375,0.09375,0.0625,0.09375,0.0625,0.0,0.0,0.0,0.03125,0.0,0.0625,0.0
A000000212724,듀이트리 AC 딥 흔적 진정 크림,69,17,3,1,3,7,5,0,0,0,0,19,4,0.2463768115942029,0.043478260869565216,0.014492753623188406,0.043478260869565216,0.10144927536231885,0.07246376811594203,0.0,0.0,0.0,0.0,0.2753623188405797,0.057971014492753624
A000000213409,덱스판테놀17만ppm 장벽크림,26,2,2,1,0,2,2,0,0,1,0,0,8,0.07692307692307693,0.07692307692307693,0.038461538461538464,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.038461538461538464,0.0,0.0,0.3076923076923077
A000000214168,키엘 울트라 훼이셜 크림,35,1,4,2,3,0,2,0,1,1,0,2,7,0.02857142857142857,0.11428571428571428,0.05714285714285714,0.08571428571428572,0.0,0.05714285714285714,0.0,0.02857142857142857,0.02857142857142857,0.0,0.05714285714285714,0.2
